Length (m),R (Ohm),L (H),C (F),G (S)
100,0.15824539259598447,0.00015581961046814502,7.140477702726776e-10,2.4194073987102245e-13
200,0.31649078519196894,0.00031163922093629004,1.4280955405453553e-09,4.838814797420449e-13
300,0.47473617778795335,0.000467458831404435,2.1421433108180327e-09,7.258222196130673e-13
400,0.6329815703839379,0.0006232784418725801,2.8561910810907105e-09,9.677629594840898e-13
500,0.7912269629799222,0.0007790980523407251,3.570238851363388e-09,1.2097036993551122e-12
600,0.9494723555759067,0.00093491766280887,4.284286621636065e-09,1.4516444392261347e-12
700,1.1077177481718912,0.001090737273277015,4.998334391908744e-09,1.693585179097157e-12
800,1.2659631407678757,0.0012465568837451602,5.712382162181421e-09,1.9355259189681796e-12
900,1.42420853336386,0.0014023764942133051,6.4264299324540985e-09,2.177466658839202e-12
1000,1.5824539259598445,0.0015581961046814501,7.140477702726776e-09,2.4194073987102245e-12
1100,1.740699318555829,0.001714015715149595,7.854525472999454e-09,2.661348138581247e-12
1200,1.8989447111518134,0.00186983532561774,8.56857324327213e-09,2.9032888784522694e-12
1300,2.0571901037477978,0.002025654936085885,9.282621013544809e-09,3.1452296183232914e-12
1400,2.2154354963437823,0.00218147454655403,9.996668783817487e-09,3.387170358194314e-12
1500,2.373680888939767,0.002337294157022175,1.0710716554090164e-08,3.6291110980653363e-12
1600,2.5319262815357515,0.0024931137674903204,1.1424764324362842e-08,3.871051837936359e-12
1700,2.6901716741317356,0.0026489333779584653,1.2138812094635519e-08,4.112992577807381e-12
1800,2.84841706672772,0.0028047529884266103,1.2852859864908197e-08,4.354933317678404e-12
1900,3.006662459323705,0.0029605725988947553,1.3566907635180875e-08,4.596874057549426e-12
2000,3.164907851919689,0.0031163922093629002,1.4280955405453552e-08,4.838814797420449e-12
2100,3.3231532445156735,0.003272211819831045,1.499500317572623e-08,5.080755537291471e-12
2200,3.481398637111658,0.00342803143029919,1.5709050945998908e-08,5.322696277162494e-12
2300,3.6396440297076427,0.003583851040767335,1.6423098716271583e-08,5.564637017033516e-12
2400,3.797889422303627,0.00373967065123548,1.713714648654426e-08,5.806577756904539e-12
2500,3.9561348148996114,0.003895490261703625,1.785119425681694e-08,6.048518496775561e-12
2600,4.1143802074955955,0.00405130987217177,1.8565242027089618e-08,6.290459236646583e-12
2700,4.2726256000915805,0.0042071294826399154,1.9279289797362296e-08,6.532399976517606e-12
2800,4.430870992687565,0.00436294909310806,1.9993337567634974e-08,6.774340716388628e-12
2900,4.589116385283549,0.004518768703576205,2.070738533790765e-08,7.016281456259651e-12
3000,4.747361777879534,0.00467458831404435,2.1421433108180328e-08,7.258222196130673e-12
3100,4.905607170475518,0.004830407924512495,2.2135480878453006e-08,7.500162936001696e-12
3200,5.063852563071503,0.004986227534980641,2.2849528648725684e-08,7.742103675872718e-12
3300,5.222097955667487,0.005142047145448785,2.3563576418998362e-08,7.98404441574374e-12
3400,5.380343348263471,0.005297866755916931,2.4277624189271037e-08,8.225985155614762e-12
3500,5.538588740859456,0.005453686366385075,2.4991671959543716e-08,8.467925895485785e-12
3600,5.69683413345544,0.005609505976853221,2.5705719729816394e-08,8.709866635356808e-12
3700,5.855079526051425,0.005765325587321365,2.6419767500089072e-08,8.95180737522783e-12
3800,6.01332491864741,0.0059211451977895105,2.713381527036175e-08,9.193748115098852e-12
3900,6.171570311243394,0.006076964808257655,2.7847863040634425e-08,9.435688854969875e-12
4000,6.329815703839378,0.0062327844187258005,2.8561910810907104e-08,9.677629594840898e-12
4100,6.488061096435363,0.006388604029193945,2.9275958581179782e-08,9.919570334711919e-12
4200,6.646306489031347,0.00654442363966209,2.999000635145246e-08,1.0161511074582942e-11
4300,6.804551881627331,0.006700243250130236,3.070405412172514e-08,1.0403451814453965e-11
4400,6.962797274223316,0.00685606286059838,3.1418101891997817e-08,1.0645392554324988e-11
4500,7.1210426668193,0.007011882471066526,3.2132149662270495e-08,1.0887333294196009e-11
4600,7.279288059415285,0.00716770208153467,3.2846197432543166e-08,1.1129274034067032e-11
4700,7.4375334520112695,0.007323521692002816,3.3560245202815845e-08,1.1371214773938055e-11
4800,7.595778844607254,0.00747934130247096,3.427429297308852e-08,1.1613155513809078e-11
4900,7.754024237203239,0.007635160912939106,3.49883407433612e-08,1.1855096253680099e-11
5000,7.912269629799223,0.00779098052340725,3.570238851363388e-08,1.2097036993551122e-11
